사건번호,품목,hs_code,규제국,후보국,분석시작월,sr_min,sr_best_lag,sr_risk
9,OPP필름,392020,중국,미국,2013.12,-1.0,3,1.0
48,도공(coated) 인쇄용지,4810,핀란드,말레이시아,2024.03,-1.0,1,1.0
51,합판,4412,말레이시아,루마니아,2024.07,-1.0,3,1.0
54,OPP필름,392020,태국,독일,2025.04,-1.0,3,1.0
2,크라프트지(1차재심),4804,캐나다,보스니아-헤르체고비나,2012.04,-0.9856107606091624,1,0.9856107606091624
26,PET필름,392062,대만,파키스탄,2018.04,-0.9856107606091624,0,0.9856107606091624
2,크라프트지(1차재심),4804,미국,스웨덴,2012.04,-0.942857142857143,3,0.942857142857143
2,크라프트지(1차재심),4804,중국,독일,2012.04,-0.942857142857143,3,0.942857142857143
4,알루미늄 보틀캔,761290,일본,스위스,2013.01,-0.942857142857143,3,0.942857142857143
6,스테인레스스틸바(2차재심),7222,인도,대만,2013.11,-0.942857142857143,1,0.942857142857143
6,스테인레스스틸바(2차재심),7222,인도,스웨덴,2013.11,-0.942857142857143,3,0.942857142857143
9,OPP필름,392020,중국,필리핀,2013.12,-0.942857142857143,2,0.942857142857143
9,OPP필름,392020,중국,홍콩,2013.12,-0.942857142857143,2,0.942857142857143
9,OPP필름,392020,태국,영국,2013.12,-0.942857142857143,3,0.942857142857143
10,합판(1차재심),4412,말레이시아,라트비아,2014.09,-0.942857142857143,1,0.942857142857143
10,합판(1차재심),4412,말레이시아,이탈리아,2014.09,-0.942857142857143,1,0.942857142857143
13,공기압 전송용 밸브,848120,일본,폴란드,2015.08,-0.942857142857143,1,0.942857142857143
19,PET필름(2차재심),392062,중국,이탈리아,2016.01,-0.942857142857143,0,0.942857142857143
19,PET필름(2차재심),392062,중국,인도네시아,2016.01,-0.942857142857143,0,0.942857142857143
22,합판(2차재심),4412,말레이시아,미국,2017.05,-0.942857142857143,1,0.942857142857143
22,합판(2차재심),4412,말레이시아,베트남,2017.05,-0.942857142857143,1,0.942857142857143
31,OPP필름(1차재심),392020,중국,베트남,2019.08,-0.942857142857143,2,0.942857142857143
34,합판,4412,말레이시아,스페인,2020.11,-0.942857142857143,1,0.942857142857143
35,합판,4412,중국,일본,2020.11,-0.942857142857143,1,0.942857142857143
36,합판,4412,베트남,벨기에,2020.11,-0.942857142857143,1,0.942857142857143
41,"인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판, 더블레이어 제품)",370130,중국,미국,2022.11,-0.942857142857143,1,0.942857142857143
48,도공(coated) 인쇄용지,4810,중국,필리핀,2024.03,-0.942857142857143,1,0.942857142857143
48,도공(coated) 인쇄용지,4810,핀란드,이탈리아,2024.03,-0.942857142857143,2,0.942857142857143
50,합판,4412,중국,인도네시아,2024.07,-0.942857142857143,1,0.942857142857143
51,합판,4412,말레이시아,라트비아,2024.07,-0.942857142857143,3,0.942857142857143
51,합판,4412,말레이시아,헝가리,2024.07,-0.942857142857143,3,0.942857142857143
10,합판(1차재심),4412,말레이시아,스위스,2014.09,-0.9411239481143202,3,0.9411239481143202
10,합판(1차재심),4412,말레이시아,영국,2014.09,-0.9411239481143202,2,0.9411239481143202
35,합판,4412,중국,노르웨이,2020.11,-0.9411239481143202,3,0.9411239481143202
1,PET필름(1차재심),392062,인도,이탈리아,2012.05,-0.9276336570439176,3,0.9276336570439176
2,크라프트지(1차재심),4804,미국,체코공화국,2012.04,-0.9276336570439176,1,0.9276336570439176
2,크라프트지(1차재심),4804,중국,에스토니아,2012.04,-0.9276336570439176,3,0.9276336570439176
14,합판(신규공급자조사),4412,중국,프랑스,2014.02,-0.9276336570439176,2,0.9276336570439176
15,합판(신규공급자조사),4412,중국,프랑스,2014.02,-0.9276336570439176,2,0.9276336570439176
16,합판(신규공급자조사),4412,중국,프랑스,2014.02,-0.9276336570439176,2,0.9276336570439176
51,합판,4412,말레이시아,칠레,2024.07,-0.9276336570439176,3,0.9276336570439176
6,스테인레스스틸바(2차재심),7222,스페인,중국,2013.11,-0.9276336570439174,1,0.9276336570439174
4,알루미늄 보틀캔,761290,일본,체코공화국,2013.01,-0.9258200997725516,3,0.9258200997725516
26,PET필름,392062,태국,바레인,2018.04,-0.8986451052612952,2,0.8986451052612952
2,크라프트지(1차재심),4804,중국,대만,2012.04,-0.8857142857142858,2,0.8857142857142858
2,크라프트지(1차재심),4804,중국,러시아 연방,2012.04,-0.8857142857142858,0,0.8857142857142858
2,크라프트지(1차재심),4804,캐나다,오스트리아,2012.04,-0.8857142857142858,3,0.8857142857142858
4,알루미늄 보틀캔,761290,일본,중국,2013.01,-0.8857142857142858,2,0.8857142857142858
6,스테인레스스틸바(2차재심),7222,인도,미국,2013.11,-0.8857142857142858,2,0.8857142857142858
6,스테인레스스틸바(2차재심),7222,인도,중국,2013.11,-0.8857142857142858,3,0.8857142857142858
9,OPP필름,392020,중국,베트남,2013.12,-0.8857142857142858,3,0.8857142857142858
11,두꺼운 PET필름,392062,일본,말레이시아,2014.12,-0.8857142857142858,0,0.8857142857142858
20,침엽수 합판,441232,중국,핀란드,2016.03,-0.8857142857142858,2,0.8857142857142858
24,옵셋인쇄판,370130,중국,일본,2017.09,-0.8857142857142858,3,0.8857142857142858
26,PET필름,392062,태국,홍콩,2018.04,-0.8857142857142858,0,0.8857142857142858
31,OPP필름(1차재심),392020,중국,대만,2019.08,-0.8857142857142858,2,0.8857142857142858
32,PET필름(3차재심),392062,중국,미국,2019.09,-0.8857142857142858,1,0.8857142857142858
35,합판,4412,중국,미국,2020.11,-0.8857142857142858,3,0.8857142857142858
37,스테인리스스틸바,7222,인도,독일,2021.01,-0.8857142857142858,1,0.8857142857142858
37,스테인리스스틸바,7222,인도,슬로베니아,2021.01,-0.8857142857142858,0,0.8857142857142858
37,스테인리스스틸바,7222,일본,대만,2021.01,-0.8857142857142858,1,0.8857142857142858
39,PET필름,392062,대만,필리핀,2021.12,-0.8857142857142858,3,0.8857142857142858
39,PET필름,392062,태국,필리핀,2021.12,-0.8857142857142858,3,0.8857142857142858
44,이음매없는동관,7411,중국,독일,2023.03,-0.8857142857142858,3,0.8857142857142858
48,도공(coated) 인쇄용지,4810,일본,뉴질랜드,2024.03,-0.8857142857142858,0,0.8857142857142858
48,도공(coated) 인쇄용지,4810,핀란드,오스트리아,2024.03,-0.8857142857142858,1,0.8857142857142858
48,도공(coated) 인쇄용지,4810,일본,태국,2024.03,-0.8827348295047495,3,0.8827348295047495
40,플로트판유리,7005,중국,라트비아,2022.04,-0.8804062740424288,3,0.8804062740424288
52,합판,4412,베트남,스페인,2024.07,-0.8804062740424288,2,0.8804062740424288
56,석유수지,391110,대만,프랑스,2025.08,-0.8804062740424288,2,0.8804062740424288
36,합판,4412,베트남,필리핀,2020.11,-0.8696565534786727,1,0.8696565534786727
44,이음매없는동관,7411,베트남,체코공화국,2023.03,-0.8696565534786727,3,0.8696565534786727
1,PET필름(1차재심),392062,인도,벨기에,2012.05,-0.8451542547285166,3,0.8451542547285166
1,PET필름(1차재심),392062,인도,스위스,2012.05,-0.8451542547285166,3,0.8451542547285166
1,PET필름(1차재심),392062,중국,벨기에,2012.05,-0.8451542547285166,3,0.8451542547285166
1,PET필름(1차재심),392062,중국,스위스,2012.05,-0.8451542547285166,3,0.8451542547285166
2,크라프트지(1차재심),4804,중국,브라질,2012.04,-0.8451542547285166,3,0.8451542547285166
6,스테인레스스틸바(2차재심),7222,일본,필리핀,2013.11,-0.8451542547285166,3,0.8451542547285166
7,합판,4412,중국,우루과이,2013.11,-0.8451542547285166,0,0.8451542547285166
7,합판,4412,중국,인도,2013.11,-0.8451542547285166,3,0.8451542547285166
7,합판,4412,중국,필리핀,2013.11,-0.8451542547285166,0,0.8451542547285166
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,벨라루스,2013.12,-0.8451542547285166,2,0.8451542547285166
9,OPP필름,392020,중국,튀르키예,2013.12,-0.8451542547285166,2,0.8451542547285166
9,OPP필름,392020,태국,스위스,2013.12,-0.8451542547285166,0,0.8451542547285166
10,합판(1차재심),4412,말레이시아,싱가포르,2014.09,-0.8451542547285166,2,0.8451542547285166
10,합판(1차재심),4412,말레이시아,캐나다,2014.09,-0.8451542547285166,1,0.8451542547285166
14,합판(신규공급자조사),4412,중국,인도,2014.02,-0.8451542547285166,1,0.8451542547285166
15,합판(신규공급자조사),4412,중국,인도,2014.02,-0.8451542547285166,1,0.8451542547285166
16,합판(신규공급자조사),4412,중국,인도,2014.02,-0.8451542547285166,1,0.8451542547285166
29,초산에틸(3차재심),291531,일본,영국,2019.07,-0.8451542547285166,3,0.8451542547285166
29,초산에틸(3차재심),291531,중국,남아프리카공화국,2019.07,-0.8451542547285166,3,0.8451542547285166
