pair_id,사건번호,품목,hs_code,규제국,중간국,수입국,reporter_code,periods,flow_code,isr_min,isr_best_lag,isr_risk,flow_type,partner_code,partner_country
1,9,OPP필름,392020,중국,미국,대한민국,156,"201312,201401,201402,201403,201404,201405,201406,201407,201408",X,-1.0,3,1.0,regulated_to_intermediary,842,미국
1,9,OPP필름,392020,중국,미국,대한민국,156,"201312,201401,201402,201403,201404,201405,201406,201407,201408",X,-1.0,3,1.0,regulated_to_importer,410,대한민국
2,48,도공(coated) 인쇄용지,4810,핀란드,말레이시아,대한민국,246,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-1.0,1,1.0,regulated_to_intermediary,458,말레이시아
2,48,도공(coated) 인쇄용지,4810,핀란드,말레이시아,대한민국,246,"202403,202404,202405,202406,202407,202408,202409,202410,202411",X,-1.0,1,1.0,regulated_to_importer,410,대한민국
3,51,합판,4412,말레이시아,루마니아,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-1.0,3,1.0,regulated_to_intermediary,642,루마니아
3,51,합판,4412,말레이시아,루마니아,대한민국,458,"202407,202408,202409,202410,202411,202412,202501,202502,202503",X,-1.0,3,1.0,regulated_to_importer,410,대한민국
4,54,OPP필름,392020,태국,독일,대한민국,764,"202504,202505,202506,202507,202508,202509,202510,202511,202512",X,-1.0,3,1.0,regulated_to_intermediary,276,독일
4,54,OPP필름,392020,태국,독일,대한민국,764,"202504,202505,202506,202507,202508,202509,202510,202511,202512",X,-1.0,3,1.0,regulated_to_importer,410,대한민국
5,2,크라프트지(1차재심),4804,캐나다,보스니아-헤르체고비나,대한민국,124,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.9856107606091624,1,0.9856107606091624,regulated_to_intermediary,70,보스니아-헤르체고비나
5,2,크라프트지(1차재심),4804,캐나다,보스니아-헤르체고비나,대한민국,124,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.9856107606091624,1,0.9856107606091624,regulated_to_importer,410,대한민국
6,26,PET필름,392062,대만,파키스탄,대한민국,490,"201804,201805,201806,201807,201808,201809,201810,201811,201812",X,-0.9856107606091624,0,0.9856107606091624,regulated_to_intermediary,586,파키스탄
6,26,PET필름,392062,대만,파키스탄,대한민국,490,"201804,201805,201806,201807,201808,201809,201810,201811,201812",X,-0.9856107606091624,0,0.9856107606091624,regulated_to_importer,410,대한민국
7,2,크라프트지(1차재심),4804,미국,스웨덴,대한민국,842,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.942857142857143,3,0.942857142857143,regulated_to_intermediary,752,스웨덴
7,2,크라프트지(1차재심),4804,미국,스웨덴,대한민국,842,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.942857142857143,3,0.942857142857143,regulated_to_importer,410,대한민국
