request_key,status,rows,error
"1|regulated_to_intermediary|156|842|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"1|regulated_to_importer|156|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"2|regulated_to_intermediary|246|458|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,18,
"2|regulated_to_importer|246|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,18,
"3|regulated_to_intermediary|458|642|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,4,
"3|regulated_to_importer|458|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,18,
"4|regulated_to_intermediary|764|276|392020|202504,202505,202506,202507,202508,202509,202510,202511,202512",ok,0,
"4|regulated_to_importer|764|410|392020|202504,202505,202506,202507,202508,202509,202510,202511,202512",ok,0,
"5|regulated_to_intermediary|124|70|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"5|regulated_to_importer|124|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"6|regulated_to_intermediary|490|586|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,0,
"6|regulated_to_importer|490|410|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,0,
"7|regulated_to_intermediary|842|752|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"7|regulated_to_importer|842|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,9,
"8|regulated_to_intermediary|156|276|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,5,
"8|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"9|regulated_to_intermediary|392|757|761290|201301,201302,201303,201304,201305,201306,201307,201308,201309",ok,0,
"9|regulated_to_importer|392|410|761290|201301,201302,201303,201304,201305,201306,201307,201308,201309",ok,8,
"10|regulated_to_intermediary|699|158|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"10|regulated_to_importer|699|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"11|regulated_to_intermediary|699|752|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,2,
"11|regulated_to_importer|699|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"12|regulated_to_intermediary|156|608|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"12|regulated_to_importer|156|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"13|regulated_to_intermediary|156|344|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"13|regulated_to_importer|156|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"14|regulated_to_intermediary|764|826|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,4,
"14|regulated_to_importer|764|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,9,
"15|regulated_to_intermediary|458|428|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,0,
"15|regulated_to_importer|458|410|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"16|regulated_to_intermediary|458|380|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,5,
"16|regulated_to_importer|458|410|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"17|regulated_to_intermediary|392|616|848120|201508,201509,201510,201511,201512,201601,201602,201603,201604",ok,8,
"17|regulated_to_importer|392|410|848120|201508,201509,201510,201511,201512,201601,201602,201603,201604",ok,9,
"18|regulated_to_intermediary|156|380|392062|201601,201602,201603,201604,201605,201606,201607,201608,201609",ok,9,
"18|regulated_to_importer|156|410|392062|201601,201602,201603,201604,201605,201606,201607,201608,201609",ok,9,
"19|regulated_to_intermediary|156|360|392062|201601,201602,201603,201604,201605,201606,201607,201608,201609",ok,9,
"19|regulated_to_importer|156|410|392062|201601,201602,201603,201604,201605,201606,201607,201608,201609",ok,9,
"20|regulated_to_intermediary|458|842|4412|201705,201706,201707,201708,201709,201710,201711,201712,201801",ok,18,
"20|regulated_to_importer|458|410|4412|201705,201706,201707,201708,201709,201710,201711,201712,201801",ok,18,
"21|regulated_to_intermediary|458|704|4412|201705,201706,201707,201708,201709,201710,201711,201712,201801",ok,18,
"21|regulated_to_importer|458|410|4412|201705,201706,201707,201708,201709,201710,201711,201712,201801",ok,18,
"22|regulated_to_intermediary|156|704|392020|201908,201909,201910,201911,201912,202001,202002,202003,202004",ok,9,
"22|regulated_to_importer|156|410|392020|201908,201909,201910,201911,201912,202001,202002,202003,202004",ok,9,
"23|regulated_to_intermediary|458|724|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,0,
"23|regulated_to_importer|458|410|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,18,
"24|regulated_to_intermediary|156|392|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"24|regulated_to_importer|156|410|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
