country_name_kr,comtrade_country_code,reporter_code,partner_code,country_name_en,note
가나,288,288,288,Ghana,
가봉,266,266,266,Gabon,
기타국,899,,899,"Areas, nes",partner_code=899 only; exclude/review if used as regulated reporter
남아프리카공화국,710,710,710,South Africa,
네덜란드,528,528,528,Netherlands,
노르웨이,579,579,579,Norway,
뉴질랜드,554,554,554,New Zealand,
니카라과,558,558,558,Nicaragua,
대만,158,490,158,"Taiwan, Province of China","partner_code=158; reporter_code=490 Other Asia, nes in Comtrade reporter reference"
대한민국,410,410,410,Rep. of Korea,
덴마크,208,208,208,Denmark,
도미니카 공화국,214,214,214,Dominican Rep.,
독일,276,276,276,Germany,
라오스,418,418,418,Lao People's Dem. Rep.,
라트비아,428,428,428,Latvia,
러시아 연방,643,643,643,Russian Federation,
루마니아,642,642,642,Romania,
룩셈부르그,442,442,442,Luxembourg,
리투아니아,440,440,440,Lithuania,
말레이시아,458,458,458,Malaysia,
멕시코,484,484,484,Mexico,
모로코,504,504,504,Morocco,
몰타,470,470,470,Malta,
몽골,496,496,496,Mongolia,
미국,842,842,842,USA,
미얀마,104,104,104,Myanmar,
바레인,48,48,48,Bahrain,
방글라데시,50,50,50,Bangladesh,
베네주엘라,862,862,862,Venezuela,
베트남,704,704,704,Viet Nam,
벨기에,56,56,56,Belgium,
벨라루스,112,112,112,Belarus,
보스니아-헤르체고비나,70,70,70,Bosnia Herzegovina,
부탄,64,64,64,Bhutan,
불가리아,100,100,100,Bulgaria,
브라질,76,76,76,Brazil,
사우디아라비아,682,682,682,Saudi Arabia,
세이쉘,690,690,690,Seychelles,
스리랑카,144,144,144,Sri Lanka,
스웨덴,752,752,752,Sweden,
스위스,757,757,757,Switzerland,
스페인,724,724,724,Spain,
슬로바키아,703,703,703,Slovakia,
슬로베니아,705,705,705,Slovenia,
싱가포르,702,702,702,Singapore,
아랍에미리트 연합,784,784,784,United Arab Emirates,
아르헨티나,32,32,32,Argentina,
아일랜드,372,372,372,Ireland,
알바니아,8,8,8,Albania,
에스토니아,233,233,233,Estonia,
에쿠아도르,218,218,218,Ecuador,
엘살바도르,222,222,222,El Salvador,
영국,826,826,826,United Kingdom,
오만,512,512,512,Oman,
오스트리아,40,40,40,Austria,
요르단,400,400,400,Jordan,
우루과이,858,858,858,Uruguay,
우즈베키스탄,860,860,860,Uzbekistan,
우크라이나,804,804,804,Ukraine,
이란,364,364,364,Iran,
이스라엘,376,376,376,Israel,
이집트,818,818,818,Egypt,
이탈리아,380,380,380,Italy,
인도,699,699,699,India,
인도네시아,360,360,360,Indonesia,
일본,392,392,392,Japan,
조지아,268,268,268,Georgia,
중국,156,156,156,China,
체코공화국,203,203,203,Czechia,
칠레,152,152,152,Chile,
카자흐스탄,398,398,398,Kazakhstan,
카타르,634,634,634,Qatar,
캄보디아,116,116,116,Cambodia,
캐나다,124,124,124,Canada,
케냐,404,404,404,Kenya,
코스타리카,188,188,188,Costa Rica,
콜롬비아,170,170,170,Colombia,
콩고,178,178,178,Congo,Republic of the Congo; use 180 for Dem. Rep. of the Congo if needed
크로아티아,191,191,191,Croatia,
태국,764,764,764,Thailand,
튀니지,788,788,788,Tunisia,
튀르키예,792,792,792,T?rkiye,
파키스탄,586,586,586,Pakistan,
페루,604,604,604,Peru,
포루투갈,620,620,620,Portugal,Korean label has typo; standard Korean is Portugal/????
폴란드,616,616,616,Poland,
프랑스,251,251,251,France,
핀란드,246,246,246,Finland,
필리핀,608,608,608,Philippines,
헝가리,348,348,348,Hungary,
호주,36,36,36,Australia,
홍콩,344,344,344,"China, Hong Kong SAR",
