pair_id,사건번호,품목,hs_code,년월,규제국,중간국,수입국,flow_type,수출량,수출총달러,isr_min,isr_best_lag,isr_risk
1,9,OPP필름,392020,2013.12,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.01,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.02,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.03,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.04,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.05,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.06,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.07,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.08,중국,미국,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2013.12,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.01,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.02,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.03,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.04,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.05,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.06,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.07,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
1,9,OPP필름,392020,2014.08,중국,미국,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
2,48,도공(coated) 인쇄용지,4810,2024.03,핀란드,말레이시아,대한민국,regulated_to_intermediary,137572.0,216161.08,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.04,핀란드,말레이시아,대한민국,regulated_to_intermediary,602878.0,686422.282,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.05,핀란드,말레이시아,대한민국,regulated_to_intermediary,1191920.0,1602125.552,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.06,핀란드,말레이시아,대한민국,regulated_to_intermediary,646596.0,755182.818,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.07,핀란드,말레이시아,대한민국,regulated_to_intermediary,623990.0,704453.574,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.08,핀란드,말레이시아,대한민국,regulated_to_intermediary,663116.0,712626.916,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.09,핀란드,말레이시아,대한민국,regulated_to_intermediary,1405084.0,1327975.516,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.1,핀란드,말레이시아,대한민국,regulated_to_intermediary,259374.0,319833.244,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.11,핀란드,말레이시아,대한민국,regulated_to_intermediary,405772.346,773819.12,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.03,핀란드,말레이시아,대한민국,regulated_to_importer,548534.0,394247.716,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.04,핀란드,말레이시아,대한민국,regulated_to_importer,1453794.0,1152198.102,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.05,핀란드,말레이시아,대한민국,regulated_to_importer,4420742.0,3446488.242,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.06,핀란드,말레이시아,대한민국,regulated_to_importer,2231726.0,1665211.314,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.07,핀란드,말레이시아,대한민국,regulated_to_importer,2457988.0,1970385.772,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.08,핀란드,말레이시아,대한민국,regulated_to_importer,2828914.0,2101452.45,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.09,핀란드,말레이시아,대한민국,regulated_to_importer,1387110.0,993051.874,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.1,핀란드,말레이시아,대한민국,regulated_to_importer,1655526.0,1168989.702,-1.0,1,1.0
2,48,도공(coated) 인쇄용지,4810,2024.11,핀란드,말레이시아,대한민국,regulated_to_importer,1204225.062,950966.196,-1.0,1,1.0
3,51,합판,4412,2024.07,말레이시아,루마니아,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
3,51,합판,4412,2024.08,말레이시아,루마니아,대한민국,regulated_to_intermediary,48075.0,97910.28,-1.0,3,1.0
3,51,합판,4412,2024.09,말레이시아,루마니아,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
3,51,합판,4412,2024.1,말레이시아,루마니아,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
3,51,합판,4412,2024.11,말레이시아,루마니아,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
3,51,합판,4412,2024.12,말레이시아,루마니아,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
3,51,합판,4412,2025.01,말레이시아,루마니아,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
3,51,합판,4412,2025.02,말레이시아,루마니아,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
3,51,합판,4412,2025.03,말레이시아,루마니아,대한민국,regulated_to_intermediary,48075.0,87192.01,-1.0,3,1.0
3,51,합판,4412,2024.07,말레이시아,루마니아,대한민국,regulated_to_importer,1692350.902,3833809.56,-1.0,3,1.0
3,51,합판,4412,2024.08,말레이시아,루마니아,대한민국,regulated_to_importer,924396.83,2533409.034,-1.0,3,1.0
3,51,합판,4412,2024.09,말레이시아,루마니아,대한민국,regulated_to_importer,754272.888,2070111.674,-1.0,3,1.0
3,51,합판,4412,2024.1,말레이시아,루마니아,대한민국,regulated_to_importer,1101287.02,3021392.36,-1.0,3,1.0
3,51,합판,4412,2024.11,말레이시아,루마니아,대한민국,regulated_to_importer,878058.49,2395238.34,-1.0,3,1.0
3,51,합판,4412,2024.12,말레이시아,루마니아,대한민국,regulated_to_importer,1822706.234,4968705.226,-1.0,3,1.0
3,51,합판,4412,2025.01,말레이시아,루마니아,대한민국,regulated_to_importer,893138.068,2466121.096,-1.0,3,1.0
3,51,합판,4412,2025.02,말레이시아,루마니아,대한민국,regulated_to_importer,983022.776,2707963.876,-1.0,3,1.0
3,51,합판,4412,2025.03,말레이시아,루마니아,대한민국,regulated_to_importer,983605.408,2725170.392,-1.0,3,1.0
4,54,OPP필름,392020,2025.04,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.05,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.06,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.07,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.08,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.09,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.1,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.11,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.12,태국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.04,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.05,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.06,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.07,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.08,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.09,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.1,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.11,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
4,54,OPP필름,392020,2025.12,태국,독일,대한민국,regulated_to_importer,0.0,0.0,-1.0,3,1.0
5,2,크라프트지(1차재심),4804,2012.04,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.05,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.06,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.07,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.08,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.09,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.1,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.11,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.12,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.04,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,317000.0,317003.844,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.05,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,160000.0,161077.259,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.06,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,69000.0,66792.048,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.07,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,204000.0,207911.316,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.08,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,0.0,194.529,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.09,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,129000.0,128157.475,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.1,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,201000.0,209953.89,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.11,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,200000.0,192098.027,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.12,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,155000.0,162044.263,-0.9856107606091624,1,0.9856107606091624
6,26,PET필름,392062,2018.04,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.05,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.06,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
